Who%20did%20Steven%20Gerrard%20win%20the%20Champions%20League%20with%3F,Liverpool
At%20which%20bridge%20does%20the%20annual%20Oxford%20and%20Cambridge%20boat%20race%20start%3F,Putney
Soccer%20player%20Cristiano%20Ronaldo%20opened%20a%20museum%20dedicated%20to%20himself.,True
In%20what%20sport%20is%20a%20%22shuttlecock%22%20used%3F,Badminton
Formula%20E%20is%20an%20auto%20racing%20series%20that%20uses%20hybrid%20electric%20race%20cars.,False
Which%20German%20sportswear%20company%27s%20logo%20is%20the%20%27Formstripe%27%3F,Puma
Who%20is%20Manchester%20United%27s%20leading%20appearance%20maker%3F,Ryan%20Giggs
Which%20country%20is%20hosting%20the%202022%20FIFA%20World%20Cup%3F,Qatar
Which%20English%20football%20team%20is%20nicknamed%20%27The%20Tigers%27%3F,Hull%20City
Which%20city%20did%20the%20former%20NHL%20team%20%22The%20Nordiques%22%20originiate%20from%3F,Quebec%20City
Which%20of%20the%20following%20Grand%20Slam%20tennis%20tournaments%20occurs%20LAST%3F,US%20Open
Which%20soccer%20team%20won%20the%20Copa%20Am%C3%A9rica%202015%20Championship%20%3F,Chile
What%20is%20the%20name%20of%20the%20AHL%20affiliate%20of%20the%20Toronto%20Maple%20Leafs%3F,Toronto%20Marlies
In%20baseball%2C%20how%20many%20fouls%20are%20an%20out%3F,0
Who%20won%20the%20%22Champions%20League%22%20in%201999%3F,Manchester%20United
Which%20country%20has%20hosted%20the%202018%20FIFA%20World%20Cup%3F,Russia
Which%20year%20did%20Jenson%20Button%20won%20his%20first%20ever%20Formula%20One%20World%20Drivers%27%20Championship%3F,2009
Which%20team%20was%20the%202014-2015%20NBA%20Champions%3F,Golden%20State%20Warriors
In%20Canadian%20football%2C%20scoring%20a%20rouge%20is%20worth%20how%20many%20points%3F,1
What%20team%20did%20England%20beat%20to%20win%20in%20the%201966%20World%20Cup%20final%3F,West%20Germany
Which%20player%20holds%20the%20NHL%20record%20of%202%2C857%20points%3F,Wayne%20Gretzky
Which%20country%20will%20host%20the%202022%20FIFA%20World%20Cup%3F,Qatar
In%20the%202014%20FIFA%20World%20Cup%2C%20what%20was%20the%20final%20score%20in%20the%20match%20Brazil%20-%20Germany%3F,1-7
In%202016%2C%20who%20won%20the%20Formula%201%20World%20Constructor%27s%20Championship%20for%20the%20third%20time%20in%20a%20row%3F,Mercedes-AMG%20Petronas
Which%20of%20the%20following%20pitchers%20was%20named%20National%20League%20Rookie%20of%20the%20Year%20for%20the%202013%20season%3F,Jose%20Fernandez
Which%20Italian%20footballer%20told%20Neuer%20where%20he%27s%20putting%20his%20shot%20and%20dragging%20it%20wide%2C%20during%20the%20match%20Italy-Germany%2C%20UEFA%20EURO%202016%3F,Pelle
What%20is%20the%20highest%20belt%20you%20can%20get%20in%20Taekwondo%3F,Black
Who%20won%20the%202011%20Stanley%20Cup%3F,Boston%20Bruins
Who%20is%20Manchester%20United%27s%20top%20premier%20league%20goal%20scorer%3F,Wayne%20Rooney
Which%20year%20was%20the%20third%20Super%20Bowl%20held%3F,1969
Who%20won%20the%20UEFA%20Champions%20League%20in%202017%3F,Real%20Madrid%20C.F.
ATP%20tennis%20hosted%20several%20tournaments%20on%20carpet%20court%20before%20being%20replaced%20to%20reduce%20injuries.,True
In%20bowling%2C%20what%20is%20the%20term%20used%20for%20getting%20three%20consecutive%20strikes%3F,Turkey
Which%20of%20these%20countries%27%20national%20teams%20qualified%20for%20the%202018%20FIFA%20World%20Cup%20in%20Russia%3F,Tunisia
In%20Formula%201%2C%20the%20Virtual%20Safety%20Car%20was%20introduced%20following%20the%20fatal%20crash%20of%20which%20driver%3F,Jules%20Bianchi
What%20national%20team%20won%20the%202016%20edition%20of%20UEFA%20European%20Championship%3F,Portugal
Why%20was%20The%20Green%20Monster%20at%20Fenway%20Park%20was%20originally%20built%3F,To%20prevent%20viewing%20games%20from%20outside%20the%20park.
Which%20team%20won%20the%202015-16%20English%20Premier%20League%3F,Leicester%20City
How%20many%20soccer%20players%20should%20be%20on%20the%20field%20at%20the%20same%20time%3F,22
The%20Los%20Angeles%20Dodgers%20were%20originally%20from%20what%20U.S.%20city%3F,Brooklyn
A%20stimpmeter%20measures%20the%20speed%20of%20a%20ball%20over%20what%20surface%3F,Golf%20Putting%20Green
Josh%20Mansour%20is%20part%20of%20what%20NRL%20team%3F,Penrith%20Panthers
Which%20team%20was%20the%202015-2016%20NBA%20Champions%3F,Cleveland%20Cavaliers
Which%20car%20manufacturer%20won%20the%202016%2024%20Hours%20of%20Le%20Mans%3F,Porsche
Which%20team%20won%202014%20FIFA%20World%20Cup%20in%20Brazil%3F,Germany
Tennis%20was%20once%20known%20as%20Racquetball.,False
How%20many%20French%20Open%27s%20did%20Bj%C3%B6rn%20Borg%20win%3F,6
What%20team%20did%20England%20beat%20in%20the%20semi-final%20stage%20to%20win%20in%20the%201966%20World%20Cup%20final%3F,Portugal
In%20Baseball%2C%20how%20many%20times%20does%20the%20ball%20have%20to%20be%20pitched%20outside%20of%20the%20strike%20zone%20before%20the%20batter%20is%20walked%3F,4
Which%20of%20the%20following%20sports%20is%20not%20part%20of%20the%20triathlon%3F,Horse-Riding
Who%20is%20often%20called%20%22the%20Maestro%22%20in%20the%20men%27s%20tennis%20circuit%3F,Roger%20Federer
What%20is%20the%20most%20common%20type%20of%20pitch%20thrown%20by%20pitchers%20in%20baseball%3F,Fastball
Which%20soccer%20team%20won%20the%20Copa%20Am%C3%A9rica%20Centenario%202016%3F,Chile
Who%20was%20the%20topscorer%20for%20England%20national%20football%20team%3F,Wayne%20Rooney
Which%20driver%20has%20been%20the%20Formula%201%20world%20champion%20for%20a%20record%207%20times%3F,Michael%20Schumacher
What%20is%20%E2%80%9CThe%20Sport%20of%20Kings%E2%80%9D%3F,Horse%20Racing
How%20many%20premier%20league%20trophies%20did%20Sir%20Alex%20Ferguson%20win%20during%20his%20time%20at%20Manchester%20United%3F,13
Which%20Formula%20One%20driver%20was%20nicknamed%20%27The%20Professor%27%3F,Alain%20Prost
Which%20nation%20hosted%20the%20FIFA%20World%20Cup%20in%202006%3F,Germany
Wilt%20Chamberlain%20scored%20his%20infamous%20100-point-game%20against%20the%20New%20York%20Knicks%20in%201962.,True
Which%20English%20football%20club%20has%20the%20nickname%20%27The%20Foxes%27%3F,Leicester%20City
In%20Rugby%20League%2C%20performing%20a%20%2240-20%22%20is%20punished%20by%20a%20free%20kick%20for%20the%20opposing%20team.,False
How%20many%20scoring%20zones%20are%20there%20on%20a%20conventional%20dart%20board%3F,82
What%20is%20the%20full%20name%20of%20the%20footballer%20%22Cristiano%20Ronaldo%22%3F,Cristiano%20Ronaldo%20dos%20Santos%20Aveiro
Who%20won%20the%202015%20Formula%201%20World%20Championship%3F,Lewis%20Hamilton
Which%20portuguese%20island%20is%20soccer%20player%20Cristiano%20Ronaldo%20from%3F,Madeira
Which%20of%20these%20teams%20isn%27t%20a%20member%20of%20the%20NHL%27s%20%22Original%20Six%22%20era%3F,Philadelphia%20Flyers
What%20is%20the%20exact%20length%20of%20one%20non-curved%20part%20in%20Lane%201%20of%20an%20Olympic%20Track%3F,84.39m
In%20golf%2C%20what%20name%20is%20given%20to%20a%20hole%20score%20of%20two%20under%20par%3F,Eagle
How%20many%20points%20did%20LeBron%20James%20score%20in%20his%20first%20NBA%20game%3F,25
Peyton%20Manning%20retired%20after%20winning%20Super%20Bowl%20XLIX.,False
What%20team%20won%20the%202016%20MLS%20Cup%3F,Seattle%20Sounders
Who%20won%20the%202018%20Monaco%20Grand%20Prix%3F,Daniel%20Ricciardo
Skateboarding%20will%20be%20included%20in%20the%202020%20Summer%20Olympics%20in%20Tokyo.,True
The%20Olympics%20tennis%20court%20is%20a%20giant%20green%20screen.,True
Which%20male%20player%20won%20the%20gold%20medal%20of%20table%20tennis%20singles%20in%202016%20Olympics%20Games%3F,Ma%20Long%20%28China%29
When%20was%20the%20FC%20Schalke%2004%20founded%3F,1904
Who%20won%20the%20premier%20league%20title%20in%20the%202015-2016%20season%20following%20a%20fairy%20tale%20run%3F,Leicester%20City
Which%20player%20%22kung-fu%20kicked%22%20a%20Crystal%20Palace%20fan%20in%20January%201995%3F,Eric%20Cantona
Which%20sport%20is%20NOT%20traditionally%20played%20during%20the%20Mongolian%20Naadam%20festival%3F,American%20Football
In%20a%20game%20of%20snooker%2C%20what%20colour%20ball%20is%20worth%203%20points%3F,Green
Which%20car%20company%20is%20the%20only%20Japanese%20company%20which%20won%20the%2024%20Hours%20of%20Le%20Mans%3F,Mazda
What%20was%20the%20final%20score%20of%20the%20Germany%20vs.%20Brazil%202014%20FIFA%20World%20Cup%20match%3F,7%20-%201
Who%20won%20the%202015%20College%20Football%20Playoff%20%28CFP%29%20National%20Championship%3F%20,Ohio%20State%20Buckeyes
During%20Wimbledon%2C%20spectators%20in%20the%20grounds%20can%20buy%20the%20tennis%20balls%20that%20have%20been%20used%20in%20matches.,True
Which%20country%20did%20Kabaddi%2C%20a%20contact%20sport%20involving%20tackling%2C%20originate%20from%3F,India
This%20Canadian%20television%20sportscaster%20is%20known%20for%20his%20%22Hockey%20Night%20in%20Canada%22%20role%2C%20a%20commentary%20show%20during%20hockey%20games.,Don%20Cherry
The%20F1%20season%20of%201994%20is%20remembered%20for%20what%20tragic%20event%3F,Death%20of%20Ayrton%20Senna%20%28San%20Marino%29
What%20is%20the%20oldest%20team%20in%20the%20NFL%3F,Arizona%20Cardinals
What%20is%20the%20name%20of%20Manchester%20United%27s%20home%20stadium%3F,Old%20Trafford
With%20which%20team%20did%20Michael%20Schumacher%20make%20his%20Formula%20One%20debut%20at%20the%201991%20Belgian%20Grand%20Prix%3F,Jordan
There%20are%20a%20total%20of%2020%20races%20in%20Formula%20One%202016%20season.,False
%22Stadium%20of%20Light%22%20is%20the%20home%20stadium%20for%20which%20soccer%20team%3F,Sunderland%20FC
The%20Mazda%20787B%20won%20the%2024%20Hours%20of%20Le%20Mans%20in%20what%20year%3F,1991
Which%20two%20teams%20played%20in%20Super%20Bowl%20XLII%3F,The%20New%20York%20Giants%20%26%20The%20New%20England%20Patriots
Which%20Formula%201%20driver%20switched%20teams%20in%20the%20middle%20of%20the%202017%20season%3F,Carlos%20Sainz%20Jr.
Which%20African%20American%20is%20in%20part%20responsible%20for%20integrating%20%20Major%20League%20baseball%3F,Jackie%20Robinson
Which%20boxer%20was%20banned%20for%20taking%20a%20bite%20out%20of%20Evander%20Holyfield%27s%20ear%20in%201997%3F,Mike%20Tyson
When%20was%20the%20first%20official%20international%20game%20played%3F,1872
How%20many%20times%20did%20Martina%20Navratilova%20win%20the%20Wimbledon%20Singles%20Championship%3F,Nine
Which%20basketball%20team%20has%20attended%20the%20most%20NBA%20grand%20finals%3F,Los%20Angeles%20Lakers
What%20cricketing%20term%20denotes%20a%20batsman%20being%20dismissed%20with%20a%20score%20of%20zero%3F,Duck
Where%20was%20the%20Games%20of%20the%20XXII%20Olympiad%20held%3F,Moscow
In%20association%20football%2C%20or%20soccer%2C%20a%20corner%20kick%20is%20when%20the%20game%20restarts%20after%20someone%20scores%20a%20goal.,False
Who%20won%20the%202016%20Formula%201%20World%20Driver%27s%20Championship%3F,Nico%20Rosberg
What%20is%20the%20nickname%20of%20Northampton%20town%27s%20rugby%20union%20club%3F,Saints
Which%20female%20player%20won%20the%20gold%20medal%20of%20table%20tennis%20singles%20in%202016%20Olympics%20Games%3F,DING%20Ning%20%28China%29
In%20what%20sport%20does%20Fanny%20Chmelar%20compete%20for%20Germany%3F,Skiing
What%20year%20was%20hockey%20legend%20Wayne%20Gretzky%20born%3F,1961
Who%20was%20the%20top%20scorer%20of%20the%202014%20FIFA%20World%20Cup%3F,James%20Rodr%C3%ADguez
Which%20of%20these%20Russian%20cities%20did%20NOT%20contain%20a%20stadium%20that%20was%20used%20in%20the%202018%20FIFA%20World%20Cup%3F,Vladivostok
The%20Rio%202016%20Summer%20Olympics%20held%20it%27s%20closing%20ceremony%20on%20what%20date%3F,August%2021
In%202008%2C%20Usain%20Bolt%20set%20the%20world%20record%20for%20the%20100%20meters%20with%20one%20shoelace%20untied.,True
Which%20country%20will%20host%20the%202020%20Summer%20Olympics%3F,Japan
Who%20was%20the%20British%20professional%20wrestler%20Shirley%20Crabtree%20better%20known%20as%3F,Big%20Daddy
Which%20NBA%20player%20won%20Most%20Valuable%20Player%20for%20the%201999-2000%20season%3F,Shaquille%20O%27Neal
Which%20city%20features%20all%20of%20their%20professional%20sports%20teams%27%20jersey%27s%20with%20the%20same%20color%20scheme%3F,Pittsburgh
With%20which%20doubles%20partner%20did%20John%20McEnroe%20have%20most%20success%3F,Peter%20Fleming
What%20year%20did%20the%20New%20Orleans%20Saints%20win%20the%20Super%20Bowl%3F,2010
Who%20won%20the%202017%20Formula%20One%20World%20Drivers%27%20Championship%3F,Lewis%20Hamilton
Which%20team%20has%20won%20the%20most%20Stanley%20Cups%20in%20the%20NHL%3F,Montreal%20Canadians
What%20tool%20lends%20it%27s%20name%20to%20a%20last-stone%20advantage%20in%20an%20end%20in%20Curling%3F,Hammer
What%20country%20hosted%20the%202014%20Winter%20Olympics%3F,Russia
The%20AHL%20affiliate%20team%20of%20the%20Boston%20Bruins%20is%20named%20what%3F,Providence%20Bruins
Which%20of%20the%20following%20player%20scored%20a%20hat-trick%20during%20their%20Manchester%20United%20debut%3F,Wayne%20Rooney
Which%20professional%20wrestler%20fell%20from%20the%20rafters%20to%20his%20death%20during%20a%20live%20Pay-Per-View%20event%20in%201999%3F,Owen%20Hart
What%20is%20the%20oldest%20team%20in%20Major%20League%20Baseball%3F,Atlanta%20Braves
Roger%20Federer%20is%20a%20famous%20soccer%20player.,False
Which%20NBA%20player%20has%20the%20most%20games%20played%20over%20the%20course%20of%20their%20career%3F,Robert%20Parish
Who%20won%20the%20UEFA%20Champions%20League%20in%202016%3F,Real%20Madrid%20C.F.
Which%20car%20manufacturer%20won%20the%202017%2024%20Hours%20of%20Le%20Mans%3F,Porsche
What%20is%20Tiger%20Woods%27%20all-time%20best%20career%20golf-score%3F,61
